"ID","Age_Frac","DG_UG_RT_Diff_log","Session","Online","UG_Offer_Accept","it_P6","lr_P6","eg_P6","w_P6","st_P6","repst_P6","w_lo","w_hi","w_diff","Perc_Delay","Corr_r_Exp_Delay","Corr_int_Exp_Delay","Corr_r_Exp_Reward","Corr_int_Exp_Reward","School","Gender","T_Vocab","T_Matrix","Age_Frac_Imp","Corsi_WM_Span","AXCPT_t","CogFlex_t","SSRT","FlankerSwitch_t","FlankerInhib_t","Stroop_t","OneBack_WM_t","TwoBack_WM_t","Flank_Cong_Cost_t","Flank_Incon_Cost_t","SES_inv_z","DG_UG_Diff_z","DG_Coins_Given_z","UG_Coins_Given_z","DG_RT_log","UG_RT_log","UG_Decision_RT_log","TD_AvgRT_log"
30,10.67777778,0.303134177010703,0,0,0,1.229291149,0.55392901,0.485028036,0.662139023,0.584495969,-0.390988596,0.615303405,0.599464168,-0.015839237,16.66666667,-0.866285714285714,1.21866666666667,1.497,-6,"Pimlico Primary","F",64,56,10.67777778,6,-0.42555434,0.32269248,0.45528322,0.14597481,0.27624309,-0.27484879,0.95833331,0.64285713,-0.899701690625592,-1.32474457068208,1.04053917785021,0.149310244316598,-0.0070589880824997,0.325562257348941,-0.27801045275505,-0.722220428045652,-2.06584958816037,-7.04315991598834
30,10.975,1.73835411999939,1,0,0,0.413994504,0.58018684,0.545176308,0.510368806,0.815935015,-0.63478123,0.338106737,0.675909971,0.337803234,44.44444444,1.52485714285714,-4.74866666666667,-0.855,3.62,"Pimlico Primary","F",58,61,10.975,6,-0.38619655,-0.038542241,1.9803083,0.076735556,0.18356979,0.074165113,0.92261904,0.91666669,-1.7070946194328,-1.28880139838441,1.04053917785021,-0.667504621650672,0.804724641404971,0.325562257348941,-0.118967518768098,-0.264011258965604,-1.25789264631537,-6.67024430286915
32,6.372222222,-0.627833756062302,0,0,0,0.650963303,0.162967717,0.452396852,0.440348478,0.663641052,-1.367607887,0.644679144,0.302730307,-0.341948837,0,0,-5,1.5,-5,"Mossbourne Riverside Academy","M",55,53,6.372222222,4,-0.029181253,0.21627696,-0.70781165,0.033717871,1.2899458,1.2473009,0.92261904,0.6785714,5.11537233748031,2.69859445788169,1.04053917785021,1.78293997625114,-1.63062624705744,0.325562257348941,-1.60867095179497,-1.92712251672314,-2.97036318220345,-7.5885205637746
32,6.608333333,-1.08570393654724,1,0,1,0.374882114,0.317531097,0.479970563,0.423052436,-0.20519367,-0.283606491,0.42813808,0.490288485,0.062150405,0,-2.28571428571429,9.66666666666667,0,-5,"Mossbourne Riverside Academy","M",64,67,6.608333333,5,0.017320938,1.134486,-0.89723194,0.70363051,-0.37884387,-0.24429524,0.54761899,0.26190478,1.26445526458967,0.64169276396088,1.04053917785021,1.78293997625114,-1.63062624705744,0.325562257348941,-1.54486383503775,-2.03455624360629,-3.12205650688749,-7.40495515909873
35,6.391666667,-0.999703578245312,0,0,1,0.532547246,0.331282149,0.412244679,0.310209476,0.799844026,0.089196451,0.328638961,0.487912656,0.159273696,0,0,-5,0,5,"Mossbourne Riverside Academy","F",64,47,6.391666667,5,-0.035885543,0.14504749,0.2945188,-0.19363195,-0.12413921,1.2434549,0.88690472,0.26190478,-0.0249531293959454,0.200540527801456,-0.587074633430099,1.78293997625114,-1.63062624705744,0.325562257348941,-1.366771694716,-1.89313347786534,-3.14682112791685,-6.82398996469847
35,6.602777778,NA,1,0,0,0.599659648,0.566140713,0.496615452,0.427598798,-0.344481723,-0.006789981,0.52775348,0.431408388,-0.099245585,72.22222222,0,5,0.0149999999999999,0.159999999999999,"Mossbourne Riverside Academy","F",64,60,6.602777778,4,0.86375034,0.52402228,2.0181921,0.35349846,0.046315551,1.3756016,0.95833331,0.54761904,-0.641356388217716,0.318265261535996,-0.587074633430099,-0.667504621650672,0.804724641404971,0.325562257348941,-0.590468251233498,-1.45718542992319,-2.1996660389862,-6.77199919138641
41,6.191666667,-1.08993186557066,0,0,1,0.682503182,0.710363897,0.472706409,0.746338554,0.618495715,0.135370659,0.40684097,0.820750028,0.413909058,100,-0.404,0.830666666666667,0.0105,1.89,"St. Saviours","F",80,59,6.191666667,5,-0.43850714,-0.15507679,0.10998944,-0.6395551,-0.51225978,-0.27274421,0.63095242,0.083333336,0.924666794883163,1.12257693280219,0.226732272210054,0.149310244316598,-0.81884261756997,-1.69292373821449,-1.44302907410019,-1.97513206085245,-3.15363305580626,-7.46492362981379
41,6.527777778,0.560199291640603,1,0,1,0.80430788,0.807547498,0.420739917,0.404604354,-0.259168489,1.064614768,0.350212727,0.592437937,0.24222521,66.66666667,0.482,1.03133333333333,-0.2205,4.69,"St. Saviours","F",72,65,6.527777778,4,0.011411542,1.2878773,-0.59074837,1.1716144,0.22680688,1.2645149,0.92261904,0.23809522,0.449988954465856,-0.955549813015145,0.226732272210054,0.149310244316598,-0.81884261756997,-1.69292373821449,-1.22798225668866,-1.3826448525072,-2.38995473913095,-8.00460130272231
42,10.92222222,NA,0,0,1,1.104182112,0.479031881,0.466972454,0.558677531,-0.635204152,-1.906012192,0.485634273,0.5811991,0.095564827,27.77777778,-2.00085714285714,5.908,1.079,-3.865,"St. Bartholomew's","F",50,58,10.92222222,5,-0.064949483,-0.46070957,0.98231059,-1.1017029,0.17715196,-0.50354654,0.95833331,0.54761904,-1.31462576682606,-1.27108757839707,-0.180171180610023,0.149310244316598,-0.0070589880824997,0.325562257348941,-0.902800141691656,-0.621113977660114,-1.86035226069367,-7.56481461155794
42,NA,NA,1,0,1,1.296684287,0.566140713,0.563705239,0.508016348,0.491426947,-0.597937211,0.54073862,0.566873621,0.0229256,50,4.41764808571231e-19,2.954,-0.307,-0.476229986000001,"St. Bartholomew's","F",58,68,9.822222222,7,-0.077994488,0.68033564,-0.99858534,-0.57274747,-1.1560559,0.17362589,0.63095242,0.29761904,-1.27210517205658,1.07622741010074,-0.180171180610023,0.966125110283867,-1.63062624705744,-1.69292373821449,-1.0523356295466,-1.30956757837312,-2.83244834563717,-6.99818726974622
45,7.033333333,-0.702331069751926,0,0,1,0.522623881,0.492267581,0.438226469,0.706414797,0.557795345,-0.438328972,0.692891019,0.542117124,-0.150773895,100,-0.383428571428571,4.66533333333333,1.1225,-3.06,"William Hogarth","F",71,70,7.033333333,5,-0.048378523,-0.28151238,1.1276975,-1.3106481,-0.24674702,-0.64239627,0.95833331,0.5,-0.0529305963654592,2.43195296132381,0.633635725030131,0.966125110283867,-0.81884261756997,0.325562257348941,-1.00130567274408,-1.55609741110558,-2.63734157283176,-7.43297678283472
45,7.358333333,1.5210782406359,1,0,1,0.640444695,0.637866433,0.540573,0.496263405,0.108238311,-0.095014238,0.472455247,0.523886744,0.051431497,100,0.774571428571429,0.454000000000001,-0.68,4.86,"William Hogarth","F",73,66,7.358333333,5,-0.43850714,0.72565711,-1.2037156,0.48488712,-0.45095867,-0.46456823,0.95833331,0.64285713,-0.473300816721863,1.11810709037547,0.633635725030131,1.78293997625114,-1.63062624705744,0.325562257348941,-1.04051225529066,-1.11486052063105,-1.82374251508111,-7.44294825932655
46,8.811111111,NA,0,0,0,0.767168531,0.566140713,0.455227171,0.614585676,0.346636043,-1.079188164,0.52775348,0.594314445,0.066560965,0,0,-5,0,5,"St. Bartholomew's","F",59,46,8.811111111,5,0.53315222,-0.2758123,0.40076315,0.034590207,0.71212262,0.37023714,0.95833331,0.41666666,-0.825737728368534,-1.63283259868615,1.04053917785021,0.966125110283867,-0.81884261756997,0.325562257348941,-1.10569823494727,-0.565881829514069,-1.68175857401373,-6.35426773382504
46,9.072222222,0.478304654822901,1,0,0,0.804047077,0.643875613,0.540208242,0.324101852,0.289478365,1.882910677,0.303066311,0.508038791,0.20497248,0,-2.28571428571429,9.66666666666667,0,-5,"St. Bartholomew's","F",48,59,9.072222222,4,-0.41347599,0.16128631,2.6103024,0.28808707,0.5057565,0.74302757,0.75,0.059523813,-0.00155718467900384,-1.63283259868615,1.04053917785021,0.966125110283867,-0.81884261756997,0.325562257348941,-0.281538237942832,-0.66526197707041,-1.7556140225917,-5.99776816698396
