ID,Session,Online,DG_DataRows,DG_Coins_Kept,DG_Coins_Given,DG_RT,OS,UG_DataRows,UG_Accept,UG_Offer_Accept,UG_Coins_Given,UG_Coins_Kept,UG_Decision_RT,UG_RT,UG_Attempts,DG_UG_Diff,DG_UG_RT_Diff,UG_Total_RT,it_P6,lr_P6,eg_P6,w_P6,st_P6,repst_P6,it,lr,eg,w_lo,w_hi,st,repst,w_diff,tot_delay,tot_delay_perc,AvgRT,RT_STD,AvgRT_3SD,AvgdelayRT,Exp_delay_trials,Exp_delay_avg_rating,Exp_delay_unique_ratings,Exp_delay_auc,Exp_reward_trials,Exp_reward_avg_rating,Exp_reward_unique_ratings,Exp_reward_auc,corr_r_exp_delay,corr_int_exp_delay,corr_rsq_exp_delay,corr_r_exp_reward,corr_int_exp_reward,corr_rsq_exp_reward,School,Gender,Group,Online_y,Age_Frac,Age_YrsMths,Train_ID,TrainingWeeks,TotalSessions,TotalBonusGames,PercentageBonusDone,Training_Version,Group_Name,Train_Coef,SES,ComboEdu,ComboEmploy,Raw_Vocab,T_Vocab,Raw_Matrix,T_Matrix,T_ScoreSum,FSIQ-2,Perc_Rank,Age_Frac_Imp,corsi_max_wm_t,PBI_t,cf_switchrt_t,cogflex_t,REzssrtnr_t,REflankerswitch_t,REflankerinh_t,stroop_t,dprimeONEBACK_t,dprimeTWOBACK_t,english_scores,maths_scores,total_scores,time
196,2,1,,3,3,3.192,MacIntel,,No,0,,,7.9398,,1,,,7.9398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orley Farm,M,2,0,9.894444444,"9,10",,,,,,,,,1.333333333,1.5,1,,,,,,,,8.6083336,,,,,-0.1054991,,,,,,,,,
197,0,0,6,6,0,1.244833333,WindowsLaptop,7,No,0,2,4,16.83,3.141714286,,2,1.896880952,,,,,,,,,,,,,,,,3,16.66666667,1094.611111,816.061066,1094.611111,1629.666667,6,7.205,6,3.6165,4,10,1,3,-1.05,5.88,0.9929391,0,5,1,Orley Farm,F,1,2,11.25277778,"11,3",,,,,,,,,1.333333333,1.5,1,35,60,12,39,99,99,50,11.252778,6,-0.81561583,264.125,-0.095888317,-0.65189338,-0.4485648,-0.24665815,0.37899488,0.92261904,0.16666666,,,,
197,1,1,,4,2,4.43597,MacIntel,,Yes,1,,,0.303405,,2,,,13.80913,,,,,,,,,,,,,,,11,61.11111111,1.391886389,0.876143572,1.391886389,1.725494545,6,6.833586516,5,3.597944878,4,8.355262587,4,2.496414931,-1.905802331,8.503894676,0.859057042,0.534780816,0.681358506,0.980066164,Orley Farm,F,1,2,11.51388889,"11,6",,,,,,,,,1.333333333,1.5,1,,,18,51,,,,11.252778,,0.40629077,167.69122,-0.33109796,0.37410745,,,,,,,,,
197,2,1,,3,3,4.345795,Linux x86_64,,No,0,,,4.814955,,1,,,4.814955,,,,,,,,,,,,,,,12,66.66666667,0.961190278,0.702800143,0.961190278,1.1427325,6,7.538785682,6,3.769801951,4,9.976812823,2,2.992862794,-0.978413452,5.963232765,0.999669034,-0.001086317,4.982244408,0.6,Orley Farm,F,1,2,12.04166667,"12,0",,,,,,,,,1.333333333,1.5,1,,,20,54,,,,11.252778,5,-0.47028232,357.09216,,1.4499043,,,,,,,,,
198,0,1,,5,1,14.512215,Win32,,No,0,,,5.091055,,1,,,5.091055,,,,,,,,,,,,,,,12,66.66666667,1.913885556,0.928419317,1.913885556,1.8851825,6,6.810185997,6,3.388426304,4,6.277778281,4,1.809259441,-0.7791006,4.537038096,0.966495395,0.941666577,-3.430554602,0.868530077,Orley Farm,M,2,1,11.56666667,"11,6",,,,,,,,,1.25,1.5,1,,,21,57,,,,11.566667,7,0.47301948,-307.69232,-0.96559751,,,,,,,127,125,126,-9
198,1,1,,4,2,2.988295,Win32,,No,0,,,2.034125,,1,,,2.034125,,,,,,,,,,,,,,,18,100,1.430058889,0.828904519,1.430058889,1.430058889,6,8.966050325,6,4.479630099,4,6.988426579,4,2.021759457,-0.25291013,4.851235778,0.98512788,0.693055524,-1.476851039,0.782361825,Orley Farm,M,2,1,11.98611111,"11,11",,,,,,,,,1.25,1.5,1,,,19,52,,,,11.566667,,0.029878777,9.506958,-0.62783813,0.77991432,,,,,,134,126,130,300
198,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orley Farm,M,2,1,,,,,,,,,,,1.25,1.5,1,,,,,,,,11.566667,,,,,,,,,,,,,,
199,0,1,,6,0,6.40842,Win32,,Yes,1,,,5.396305,,1,,,5.396305,,,,,,,,,,,,,,,11,61.11111111,1.913293333,0.955474726,1.913293333,1.789381818,6,7.793209877,6,3.912499993,4,9.506944727,4,2.858333446,-0.940740717,6.085802384,0.992862988,0.186574159,3.574073933,0.862707538,Orley Farm,F,2,1,9.533333333,"9,6",,,,,,,,,1.25,1.5,1,,,18,54,,,,9.5333338,6,0.29778135,-168.26923,-1.0484943,1.0229334,,,,,,115,104,109.5,-9
199,1,1,,6,0,3.43788,Win32,,No,0,,,1.20998,,2,,,15.392795,,,,,,,,,,,,,,,4,22.22222222,2.293480278,1.103496455,2.293480278,2.59206125,6,2.578703916,5,1.075463048,4,4.511574286,4,1.306481538,-1.837301729,4.009259966,0.734088732,1.553240811,-8.254629771,0.942313544,Orley Farm,F,2,1,9.952777778,"9,11",,,,,,,,,1.25,1.5,1,,,20,57,,,,9.5333338,,0.017914424,121.36249,-0.32797232,1.0919067,,,,,,119,118,118.5,300
199,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orley Farm,F,2,1,,,,,,,,,,,1.25,1.5,1,,,,,,,,9.5333338,,-0.44174758,74.959106,0.24458243,-0.15657172,,,,,,,,,
